ano,mes,tipo,formulario,metrica,unidades,monto_dolar,monto_local
2014,5,Otros, Declaraci南 Unica Aduanera (TICA) ,real,73912,221737,120927449.8
2014,5,Otros,DUAS Pe凔s Blancas,real,6394,19182,10461187.59
2014,5,Otros,Derechos Electr南icos (FAD),real,25279,75843.47,41405733.3
2014,5,Otros, Marchamos ,real,10186,30552.37,16679658.69
2014,5, Exportaci▋ , Certificado Libre Venta Productos Alimenticios ,real,197,590.84,322562.1
2014,5, Exportaci▋ , Certificado Origen C.E.E. ,real,0,0,0
2014,5, Exportaci▋ , Certificado Origen S.G.P. ,real,606,1818.35,992702.19
2014,5, Exportaci▋ , Registro Exportador Electr南ico ,real,307,920.95,502781.49
2014,5, Exportaci▋ , Registros Exportadores ,real,58,173.96,94972.83
2014,5, Exportaci▋ , Certificado Libre Venta de Alimentos y Bebidas C.A. ,real,187,560.91,306220.71
2014,5, Exportaci▋ ,Certificado EUR-1,real,2945,8834.73,4823201.67
2014,5, Importaci▋ , Declaraci南 Aduanera Importaci南 ,real,41,123.06,67183.14
2014,5, Importaci▋ , Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal ,real,218,218.35,119206.4
2014,5, Importaci▋ , Declaraci南 Valor Aduanas ,real,17536,4382.45,2392540.21
2014,5, Importaci▋ , Formulario Autorizaci南 Desalmacenaje ,real,151,452.92,247267.47
2014,5, Exportaci▋ , Declaraci南 Aduanera Exportaci南 ,real,92,276.27,150825.18
2014,5, Importaci▋ , Pasan Declaraci南 Aduanera Importaci南 ,real,48,48.05,26230.92
2014,5, Exportaci▋ , Certificado de Orign para Exportaci南 de banano ,real,1083,3250.44,1774532.58
2014,5,Costo,Costo de ventas,real,,-5639.28,-2978903.54
2014,6,Otros, Declaraci南 Unica Aduanera (TICA) ,real,71767,215301.61,117140225.9
2014,6,Otros,DUAS Pe凔s Blancas,real,106,318,173015.85
2014,6,Otros,Derechos Electr南icos (FAD),real,26881,80671.56,44041285.2
