ano_saldo,mes_saldo,cuenta_contable_codigo,cuenta_contable,centro_costo_codigo,centro_costo,debito_fisc_local
2014,9,205-007-000-000,Activos Fijos,095-001-000,Reg¡menes Especiales,523751.2
2014,9,205-007-000-000,Activos Fijos,095-001-000,Reg¡menes Especiales,523751.2
2014,9,205-007-000-000,Activos Fijos,095-001-000,Reg¡menes Especiales,523751.2
2014,9,205-007-000-000,Activos Fijos,001-004-000,Gerencia de Comunicaci¢n,585819.94
2014,9,205-007-000-000,Activos Fijos,010-001-000,Administrativa Financiera,1118022.3
2014,10,205-007-000-000,Activos Fijos,001-001-000,Gerencia General,389335.5
2014,10,205-007-000-000,Activos Fijos,001-006-000,Encadenamiento para la Exportaci¢n,512620.8
2014,11,205-007-000-000,Activos Fijos,010-001-000,Convenio B.I.D. (SIVUCE Vr 2),341367673.3
2014,11,205-007-000-000,Activos Fijos,040-002-010,OPC China,595455.79
2014,12,205-007-000-000,Activos Fijos,001-003-000,Asesor¡a Legal,695811.6
2014,12,205-007-000-000,Activos Fijos,001-001-000,Gerencia General,606199.5
2014,12,205-007-000-000,Activos Fijos,010-001-000,Administrativa Financiera,606199.5
2014,12,205-007-000-000,Activos Fijos,010-001-000,Administrativa Financiera,606199.5
2014,12,205-007-000-000,Activos Fijos,040-001-000,Promoci¢n Comercial,606199.5
2014,12,205-007-000-000,Activos Fijos,050-001-000,Inteligencia Comercial,606199.5
2014,12,205-007-000-000,Activos Fijos,095-001-000,Reg¡menes Especiales,606199.5
2014,12,205-007-000-000,Activos Fijos,001-004-000,Gerencia de Comunicaci¢n,721113.84
2014,12,205-007-000-000,Activos Fijos,010-001-000,Administrativa Financiera,7855578
2014,12,205-007-000-000,Activos Fijos,010-001-000,Administrativa Financiera,1750660.78
2014,12,205-007-000-000,Activos Fijos,010-001-000,Administrativa Financiera,1750660.78
2014,12,205-007-000-000,Activos Fijos,010-001-000,Administrativa Financiera,1750660.78
2014,12,205-007-000-000,Activos Fijos,010-001-000,Administrativa Financiera,1750660.78
2014,12,205-007-000-000,Activos Fijos,010-001-000,Administrativa Financiera,1750660.78
2014,12,205-007-000-000,Activos Fijos,010-001-000,Administrativa Financiera,1661072.48
2014,12,205-007-000-000,Activos Fijos,010-001-000,Administrativa Financiera,1661072.48
